group#	Lat_avg	Lon_avg	B_avg	B_stdv	GroupAmount	VADMCalc_avg	VADMCalc_stdv_w	VADMCalc_stdv_nw	AGE_range	AGE_min	Residual	Residual_stdv_nw	Residual_stdv_w
19	-78.01184685605986	165.0724266873954	32.48	3.1462266641521905	30	4.284487433016745	0.41561355036746733	2.276409167410714	2.2449999999999997	0.055	-2.3149202337433286	-1.0169174623279253	-5.569886332379147
8	-54.34850959809057	1.2691728116157588	37.7	2.687005768508881	2	5.663968935088245	0.39214416956568116	0.554575603005321	0.15	0.15	-0.9354387316718284	-1.6867650264500602	-2.3854459769422878
16	-38.75396478937412	175.45525082403825	34.88181818181818	4.181873876740148	11	6.128800903459822	0.731233444261454	2.425226968774502	0.15300000000000002	0.076	-0.47060676330025153	-0.19404648280736178	-0.6435793753601691
17	-37.66660675562424	144.19945791547454	63.166666666666664	2.7878041272391876	3	11.255788994466684	0.49770517561739863	0.8620506513593251	0.0	2.25	4.656381327706611	5.401517092254606	9.355702041736683
13	-36.0	-71.00000000000003	39.15	5.197234841721124	2	7.118135478938061	0.9449456377836059	1.3363549366588696	0.016000000000000014	0.784	0.5187278121779881	0.38816619593212415	0.5489498987419821
18	-35.0833333333333	-12.283333333333312	18.2	2.659323222175146	5	3.3465850250082196	0.4889918281312059	1.0934189681432704	0.025300000000000003	0.05545	-3.2528226417518535	-2.974909651764553	-6.652100208265768
25	-29.00000000000001	167.8	44.18571428571429	3.7002166826474188	7	8.779670911719013	0.7352304992883245	1.9452370574267581	0.0	2.73	2.1802632449589394	1.1208213603760375	2.9654145836840993
11	-20.959899489817502	55.59043708110393	39.757749999999994	1.497292588443872	60	8.76754133202716	0.3297025481715559	2.5538649565411693	1.7770000000000001	0.073	2.168133665267086	0.8489617509782118	6.576029446211405
12	-16.873026443177714	-151.13715059473697	20.128260869565217	1.8054649842865054	46	4.669376638175555	0.41972004484435993	2.8466798446665846	4.1000000000000005	0.51	-1.9300310285845184	-0.6779937098302573	-4.5983770665520876
14	-3.858042629835752	-32.42922106763996	30.914285714285715	3.772966600425987	7	7.96701643622306	0.9722739304453756	2.572395026189775	0.0	2.55	1.3676087694629873	0.5316480383219703	1.4066084944152706
26	9.55	-104.19999999999999	12.200000000000001	1.677961726487096	3	3.042317102667186	0.41843374246825016	0.7247485015562003	0.012999999999999998	0.061	-3.557090564092887	-4.9080343822098325	-8.500964915282356
2	12.137992865893546	41.55654905858659	22.351333333333333	5.790328708126003	15	5.36386666613532	1.321251400838299	5.1171846715999525	1.96	0.25	-1.2355410006247531	-0.24144936716509893	-0.9351293779827482
22	16.012497256663526	-61.7124945049986	24.975	2.8819887881461304	8	5.847131855540404	0.6749416809423361	1.909023357999092	0.7080000000000001	0.077	-0.7522758112196692	-0.3940631779425441	-1.1145789813563762
0	19.39663766292884	-106.58021384848122	35.96578947368421	2.4875403539810295	38	8.063827373205704	0.5482813508962331	3.3798332370314856	3.47536896	0.05263104	1.4644197064456312	0.4332816454967565	2.6709274427296457
21	17.822856684920414	-28.677143772755834	41.166666666666664	2.9504858228910162	21	9.436945837202156	0.6762602710170866	3.09901388142715	0.1349999999999999	0.68	2.837538170442083	0.9156261569036106	4.195926172292308
7	19.8018791532848	-155.3588301962106	34.49493670886076	0.6247899688674244	395	7.7155501237594875	0.1391834404596105	2.766216168121846	4.4494	0.0506	1.1161424569994143	0.40349068516840897	8.019218761324602
6	20.654467628696906	157.3948292742178	18.84	1.5066784660304933	5	4.16795992356734	0.3256127856145712	0.7280923229772469	3.4862	0.0938	-2.4314477431927335	-3.339477242735214	-7.467298124069505
20	28.25998974443951	-17.160461170402918	25.990476190476194	1.7059878855967379	42	5.214997873115455	0.3414396331884663	2.2127817268539447	1.03	0.27	-1.3844097936446182	-0.6256422749897359	-4.054625354170463
4	35.59807260285171	-116.82798534611766	32.626774193548385	2.949281412580438	31	5.856197379664747	0.49258338497864557	2.7425882166062836	4.016	0.064	-0.7432102870953265	-0.2709886531981769	-1.5088009660081128
1	33.972110312912584	132.3762810209159	42.804878048780495	2.5330673906998533	82	7.945703772736892	0.4610389195855085	4.174884980517546	3.89	0.066	1.346296105976819	0.32247501721830035	2.920135478339205
23	32.771	-129.675	41.2	0.0	1	7.798522362693591	0.0	0.0	0.0	0.185	1.1991146959335177	inf	inf
3	39.253959085817115	17.220644594641968	31.76484375	1.7419415361988482	32	5.558136765665334	0.3087110004683784	1.7463331348645905	3.4388	0.0612	-1.0412709010947392	-0.5962613205386375	-3.3729633848969294
9	39.92053304309234	113.01921288884336	36.96060606060606	3.5794406799325382	33	6.4150238326454225	0.6221891928316944	3.5742047962205983	0.632	0.098	-0.18438383411465065	-0.05158737247222656	-0.2963468929369969
15	40.55455640941099	44.57172271716585	45.3327868852459	0.8879609890914212	61	7.814096532545535	0.15512271389019516	1.2115471258866575	3.68	0.05	1.2146888657854618	1.00259316359362	7.8305029310232985
10	50.138137391090915	8.645782698490644	40.579574162257494	1.520817798237591	90	6.324890129153537	0.2363434847435172	2.242151165792312	2.6500000000000004	0.05	-0.2745175376065365	-0.12243489279168644	-1.1615193789007818
5	64.7039596399938	-18.196808204706876	46.893587912087916	3.911365658944374	65	6.546255187752472	0.5455548770569781	4.398404034674685	4.4395	0.0605	-0.05315247900760145	-0.012084492145008847	-0.09742829043035055
24	70.909515743127	8.704069153178683	52.425000000000004	7.357341146773065	4	7.091212196348832	0.9946688936856144	1.9893377873712288	0.14869999999999997	0.1438	0.49180452958875875	0.24722022208136113	0.49444044416272226
